DataSource,RecordType,ReferenceYear,Location_State_UT,Location_Region,Location_District,Location_Block_Mandal_Taluk_Valley_Unit,Category,Parameter,Value_Numeric,Value_Text,Unit
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,1071.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,16.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,1034.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,15.7,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,1186.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,17.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,1114.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,16.0,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,1006.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,14.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Number of Units,736.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Over-Exploited,Percentage,11.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,30.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,0.5,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,71.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,1.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,92.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,1.4,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,96.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,1.5,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,100.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,1.5,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,97.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,1.4,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,158.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,2.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Number of Units,127.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage,1.9,NotAvailable,%
